"Date","Price","Open","High","Low","Vol.","Change %"
"07/23/2001","1,191.00","1,210.80","1,215.20","1,190.50","","-1.64%"
"07/20/2001","1,210.80","1,215.00","1,215.70","1,207.00","","-0.35%"
"07/19/2001","1,215.00","1,207.70","1,225.00","1,205.80","","0.60%"
"07/18/2001","1,207.70","1,214.40","1,214.40","1,198.30","","-0.55%"
"07/17/2001","1,214.40","1,202.50","1,215.40","1,196.10","","0.99%"
"07/16/2001","1,202.50","1,215.70","1,219.60","1,200.00","","-1.09%"
"07/13/2001","1,215.70","1,208.10","1,218.50","1,203.60","","0.63%"
"07/12/2001","1,208.10","1,180.20","1,210.20","1,180.20","","2.36%"
"07/11/2001","1,180.20","1,181.50","1,184.90","1,168.50","","-0.11%"
"07/10/2001","1,181.50","1,198.80","1,203.40","1,179.90","","-1.44%"
"07/09/2001","1,198.80","1,190.60","1,201.80","1,189.80","","0.69%"
"07/06/2001","1,190.60","1,219.20","1,219.20","1,188.70","","-2.35%"
"07/05/2001","1,219.20","1,234.50","1,234.50","1,219.20","","-1.24%"
"07/03/2001","1,234.50","1,236.70","1,236.70","1,229.40","","-0.18%"
"07/02/2001","1,236.70","1,224.40","1,239.80","1,224.00","","1.00%"
"06/29/2001","1,224.40","1,226.20","1,237.30","1,221.10","","-0.15%"
"06/28/2001","1,226.20","1,211.10","1,234.40","1,211.10","","1.25%"
"06/27/2001","1,211.10","1,216.80","1,219.90","1,207.30","","-0.47%"
"06/26/2001","1,216.80","1,218.60","1,220.70","1,204.60","","-0.15%"
"06/25/2001","1,218.60","1,225.30","1,231.50","1,213.60","","-0.55%"
"06/22/2001","1,225.30","1,237.00","1,237.70","1,221.40","","-0.95%"
"06/21/2001","1,237.00","1,223.10","1,240.20","1,220.20","","1.14%"
"06/20/2001","1,223.10","1,212.60","1,225.60","1,210.10","","0.87%"
"06/19/2001","1,212.60","1,208.40","1,226.10","1,207.70","","0.35%"
"06/18/2001","1,208.40","1,214.40","1,221.20","1,208.30","","-0.49%"
"06/15/2001","1,214.40","1,219.90","1,221.50","1,203.00","","-0.45%"
"06/14/2001","1,219.90","1,241.60","1,241.60","1,218.90","","-1.75%"
"06/13/2001","1,241.60","1,255.80","1,259.80","1,241.60","","-1.13%"
"06/12/2001","1,255.80","1,254.40","1,261.00","1,235.80","","0.11%"
"06/11/2001","1,254.40","1,265.00","1,265.00","1,249.20","","-0.84%"
"06/08/2001","1,265.00","1,277.00","1,277.10","1,260.00","","-0.94%"
"06/07/2001","1,277.00","1,270.00","1,277.10","1,265.10","","0.55%"
"06/06/2001","1,270.00","1,283.60","1,283.80","1,269.00","","-1.06%"
"06/05/2001","1,283.60","1,267.10","1,286.60","1,267.10","","1.30%"
"06/04/2001","1,267.10","1,260.70","1,267.20","1,256.40","","0.51%"
"06/01/2001","1,260.70","1,255.80","1,265.30","1,246.90","","0.39%"
"05/31/2001","1,255.80","1,248.10","1,261.90","1,248.10","","0.62%"
"05/30/2001","1,248.10","1,267.90","1,267.90","1,246.00","","-1.56%"
"05/29/2001","1,267.90","1,277.90","1,278.40","1,265.40","","-0.78%"
"05/25/2001","1,277.90","1,293.20","1,293.20","1,276.40","","-1.18%"
"05/24/2001","1,293.20","1,289.00","1,295.00","1,281.20","","0.33%"
"05/23/2001","1,289.00","1,309.40","1,309.40","1,288.70","","-1.56%"
"05/22/2001","1,309.40","1,312.80","1,315.90","1,306.90","","-0.26%"
"05/21/2001","1,312.80","1,292.00","1,313.00","1,287.90","","1.61%"
"05/18/2001","1,292.00","1,288.50","1,292.10","1,281.20","","0.27%"
"05/17/2001","1,288.50","1,285.00","1,296.50","1,282.70","","0.27%"
"05/16/2001","1,285.00","1,249.40","1,286.40","1,243.00","","2.85%"
"05/15/2001","1,249.40","1,248.90","1,257.50","1,245.40","","0.04%"
"05/14/2001","1,248.90","1,245.70","1,249.70","1,241.00","","0.26%"
"05/11/2001","1,245.70","1,255.20","1,259.80","1,240.80","","-0.76%"
"05/10/2001","1,255.20","1,255.50","1,268.10","1,254.60","","-0.02%"
"05/09/2001","1,255.50","1,261.20","1,261.70","1,247.80","","-0.45%"
"05/08/2001","1,261.20","1,266.70","1,267.00","1,253.00","","-0.18%"
"05/07/2001","1,263.50","1,266.60","1,270.00","1,259.20","","-0.24%"
"05/04/2001","1,266.60","1,248.60","1,267.50","1,232.00","","1.44%"
"05/03/2001","1,248.60","1,267.40","1,267.40","1,239.90","","-1.48%"
"05/02/2001","1,267.40","1,266.40","1,272.90","1,257.70","","0.08%"
"05/01/2001","1,266.40","1,249.50","1,266.50","1,243.50","","1.35%"
"04/30/2001","1,249.50","1,253.00","1,269.30","1,244.00","","-0.28%"
"04/27/2001","1,253.00","1,234.50","1,253.10","1,234.50","","1.50%"
"04/26/2001","1,234.50","1,228.80","1,248.30","1,228.80","","0.46%"
"04/25/2001","1,228.80","1,209.50","1,232.40","1,207.40","","1.60%"
"04/24/2001","1,209.50","1,224.40","1,233.50","1,208.90","","-1.22%"
"04/23/2001","1,224.40","1,243.00","1,243.00","1,217.50","","-1.50%"
"04/20/2001","1,243.00","1,253.70","1,253.70","1,234.40","","-0.85%"
"04/19/2001","1,253.70","1,238.20","1,253.70","1,233.40","","1.25%"
"04/18/2001","1,238.20","1,191.80","1,248.40","1,191.80","","3.89%"
"04/17/2001","1,191.80","1,179.70","1,192.20","1,168.90","","1.03%"
"04/16/2001","1,179.70","1,183.50","1,184.60","1,167.40","","-0.32%"
"04/12/2001","1,183.50","1,165.90","1,183.50","1,157.70","","1.51%"
"04/11/2001","1,165.90","1,168.40","1,182.20","1,160.30","","-0.21%"
"04/10/2001","1,168.40","1,137.60","1,173.90","1,137.60","","2.71%"
"04/09/2001","1,137.60","1,128.40","1,146.10","1,126.40","","0.82%"
"04/06/2001","1,128.40","1,151.40","1,151.40","1,119.30","","-2.00%"
"04/05/2001","1,151.40","1,103.20","1,151.50","1,103.20","","4.37%"
"04/04/2001","1,103.20","1,106.50","1,117.50","1,092.00","","-0.30%"
"04/03/2001","1,106.50","1,145.90","1,145.90","1,100.20","","-3.44%"
"04/02/2001","1,145.90","1,160.30","1,169.50","1,137.50","","-1.24%"
"03/30/2001","1,160.30","1,148.00","1,162.80","1,143.80","","1.07%"
"03/29/2001","1,148.00","1,153.30","1,161.70","1,136.30","","-0.46%"
"03/28/2001","1,153.30","1,182.20","1,182.20","1,147.80","","-2.44%"
"03/27/2001","1,182.20","1,152.70","1,183.40","1,151.00","","2.56%"
"03/26/2001","1,152.70","1,139.80","1,160.00","1,139.80","","1.13%"
"03/23/2001","1,139.80","1,117.60","1,141.80","1,117.60","","1.99%"
"03/22/2001","1,117.60","1,122.10","1,124.30","1,081.20","","-0.40%"
"03/21/2001","1,122.10","1,142.60","1,149.40","1,118.70","","-1.79%"
"03/20/2001","1,142.60","1,170.80","1,180.60","1,142.20","","-2.41%"
"03/19/2001","1,170.80","1,150.50","1,173.50","1,147.20","","1.76%"
"03/16/2001","1,150.50","1,173.60","1,173.60","1,148.60","","-1.97%"
"03/15/2001","1,173.60","1,166.70","1,182.00","1,166.70","","0.59%"
"03/14/2001","1,166.70","1,197.70","1,197.70","1,155.30","","-2.59%"
"03/13/2001","1,197.70","1,180.20","1,197.80","1,171.50","","1.48%"
"03/12/2001","1,180.20","1,233.40","1,233.40","1,176.80","","-4.31%"
"03/09/2001","1,233.40","1,264.70","1,264.70","1,228.40","","-2.47%"
"03/08/2001","1,264.70","1,261.90","1,266.50","1,257.60","","0.22%"
"03/07/2001","1,261.90","1,253.80","1,263.90","1,253.80","","0.65%"
